vehicle_id,bus_stop_id,time_of_arrival,time_of_req,direction
7442_490002083A_2020-05-19_inbound_0,490002083A,2020-05-19 17:10:15,2020-05-19 16:56:33.153,inbound
6139_490002083A_2020-05-19_inbound_0,490002083A,2020-05-19 17:21:31,2020-05-19 16:56:33.153,inbound
7440_490011823S_2020-05-19_outbound_0,490011823S,2020-05-19 17:04:30,2020-05-19 16:56:33.642,outbound
6507_490011823S_2020-05-19_outbound_0,490011823S,2020-05-19 17:08:20,2020-05-19 16:56:33.642,outbound
6888_490011823S_2020-05-19_outbound_0,490011823S,2020-05-19 17:18:20,2020-05-19 16:56:33.642,outbound
7335_490004584N_2020-05-19_inbound_0,490004584N,2020-05-19 17:01:41,2020-05-19 16:56:34.096,inbound
7442_490004584N_2020-05-19_inbound_0,490004584N,2020-05-19 17:12:50,2020-05-19 16:56:34.096,inbound
6139_490004584N_2020-05-19_inbound_0,490004584N,2020-05-19 17:24:09,2020-05-19 16:56:34.096,inbound
6890_490006614S_2020-05-19_outbound_0,490006614S,2020-05-19 16:58:39,2020-05-19 16:56:34.575,outbound
7440_490006614S_2020-05-19_outbound_0,490006614S,2020-05-19 17:11:52,2020-05-19 16:56:34.575,outbound
6507_490006614S_2020-05-19_outbound_0,490006614S,2020-05-19 17:18:04,2020-05-19 16:56:34.575,outbound
7335_490012881S_2020-05-19_inbound_0,490012881S,2020-05-19 17:03:16,2020-05-19 16:56:35.048,inbound
7442_490012881S_2020-05-19_inbound_0,490012881S,2020-05-19 17:14:29,2020-05-19 16:56:35.048,inbound
6139_490012881S_2020-05-19_inbound_0,490012881S,2020-05-19 17:25:52,2020-05-19 16:56:35.048,inbound
6511_490010161E_2020-05-19_inbound_0,490010161E,2020-05-19 17:03:28,2020-05-19 16:56:35.517,inbound
5494_490010161E_2020-05-19_inbound_0,490010161E,2020-05-19 17:16:42,2020-05-19 16:56:35.517,inbound
7335_490010161E_2020-05-19_inbound_0,490010161E,2020-05-19 17:25:39,2020-05-19 16:56:35.517,inbound
7440_490012633S_2020-05-19_outbound_0,490012633S,2020-05-19 17:06:16,2020-05-19 16:56:35.981,outbound
6507_490012633S_2020-05-19_outbound_0,490012633S,2020-05-19 17:12:58,2020-05-19 16:56:35.981,outbound
6888_490012633S_2020-05-19_outbound_0,490012633S,2020-05-19 17:22:04,2020-05-19 16:56:35.981,outbound
6511_490012462N_2020-05-19_inbound_0,490012462N,2020-05-19 16:58:59,2020-05-19 16:56:36.455,inbound
5494_490012462N_2020-05-19_inbound_0,490012462N,2020-05-19 17:12:42,2020-05-19 16:56:36.455,inbound
7335_490012462N_2020-05-19_inbound_0,490012462N,2020-05-19 17:20:08,2020-05-19 16:56:36.455,inbound
7275_490008507S_2020-05-19_outbound_0,490008507S,2020-05-19 17:15:22,2020-05-19 16:58:46.723,outbound
6890_490008507S_2020-05-19_outbound_0,490008507S,2020-05-19 17:18:09,2020-05-19 16:58:46.723,outbound
6893_490008507S_2020-05-19_outbound_0,490008507S,2020-05-19 17:05:33,2020-05-19 16:58:46.723,outbound
6139_490002061N_2020-05-19_inbound_0,490002061N,2020-05-19 17:05:30,2020-05-19 16:58:47.452,inbound
6893_490002061N_2020-05-19_inbound_0,490002061N,2020-05-19 17:16:32,2020-05-19 16:58:47.452,inbound
7440_490000146B_2020-05-19_outbound_0,490000146B,2020-05-19 17:12:57,2020-05-19 16:58:48.077,outbound
6507_490000146B_2020-05-19_outbound_0,490000146B,2020-05-19 17:16:28,2020-05-19 16:58:48.077,outbound
6888_490000146B_2020-05-19_outbound_0,490000146B,2020-05-19 17:25:20,2020-05-19 16:58:48.077,outbound
7275_490008757S_2020-05-19_outbound_0,490008757S,2020-05-19 17:10:39,2020-05-19 16:58:48.658,outbound
6890_490008757S_2020-05-19_outbound_0,490008757S,2020-05-19 17:14:38,2020-05-19 16:58:48.658,outbound
6893_490008757S_2020-05-19_outbound_0,490008757S,2020-05-19 17:00:41,2020-05-19 16:58:48.658,outbound
6511_490007626B_2020-05-19_inbound_0,490007626B,2020-05-19 17:00:56,2020-05-19 16:58:49.143,inbound
5494_490007626B_2020-05-19_inbound_0,490007626B,2020-05-19 17:14:09,2020-05-19 16:58:49.143,inbound
7335_490007626B_2020-05-19_inbound_0,490007626B,2020-05-19 17:22:21,2020-05-19 16:58:49.143,inbound
7442_490014457B_2020-05-19_inbound_0,490014457B,2020-05-19 17:08:25,2020-05-19 16:58:49.706,inbound
6139_490014457B_2020-05-19_inbound_0,490014457B,2020-05-19 17:19:50,2020-05-19 16:58:49.706,inbound
7275_490005323N_2020-05-19_outbound_0,490005323N,2020-05-19 17:06:07,2020-05-19 16:58:50.316,outbound
6890_490005323N_2020-05-19_outbound_0,490005323N,2020-05-19 17:11:14,2020-05-19 16:58:50.316,outbound
7442_490009545N_2020-05-19_inbound_0,490009545N,2020-05-19 17:02:13,2020-05-19 16:58:50.78,inbound
6139_490009545N_2020-05-19_inbound_0,490009545N,2020-05-19 17:12:55,2020-05-19 16:58:50.78,inbound
6893_490009545N_2020-05-19_inbound_0,490009545N,2020-05-19 17:23:58,2020-05-19 16:58:50.78,inbound
7440_490008277W_2020-05-19_outbound_0,490008277W,2020-05-19 17:01:30,2020-05-19 16:58:51.705,outbound
6507_490008277W_2020-05-19_outbound_0,490008277W,2020-05-19 17:05:18,2020-05-19 16:58:51.705,outbound
6888_490008277W_2020-05-19_outbound_0,490008277W,2020-05-19 17:14:36,2020-05-19 16:58:51.705,outbound
7441_490008277W_2020-05-19_outbound_0,490008277W,2020-05-19 17:24:53,2020-05-19 16:58:51.705,outbound
7335_490012633S_2020-05-19_inbound_0,490012633S,2020-05-19 17:11:17,2020-05-19 16:58:52.144,inbound
5494_490012633S_2020-05-19_inbound_0,490012633S,2020-05-19 17:03:37,2020-05-19 16:58:52.144,inbound
7442_490012633S_2020-05-19_inbound_0,490012633S,2020-05-19 17:21:43,2020-05-19 16:58:52.144,inbound
7275_490012438S_2020-05-19_outbound_0,490012438S,2020-05-19 17:11:05,2020-05-19 16:58:52.608,outbound
6890_490012438S_2020-05-19_outbound_0,490012438S,2020-05-19 17:15:01,2020-05-19 16:58:52.608,outbound
6893_490012438S_2020-05-19_outbound_0,490012438S,2020-05-19 17:01:08,2020-05-19 16:58:52.608,outbound
7442_490008757N_2020-05-19_inbound_0,490008757N,2020-05-19 16:59:10,2020-05-19 16:58:53.093,inbound
6139_490008757N_2020-05-19_inbound_0,490008757N,2020-05-19 17:10:02,2020-05-19 16:58:53.093,inbound
6893_490008757N_2020-05-19_inbound_0,490008757N,2020-05-19 17:21:05,2020-05-19 16:58:53.093,inbound
7335_490011878N_2020-05-19_inbound_0,490011878N,2020-05-19 16:59:11,2020-05-19 16:58:53.643,inbound
7442_490011878N_2020-05-19_inbound_0,490011878N,2020-05-19 17:10:38,2020-05-19 16:58:53.643,inbound
6139_490011878N_2020-05-19_inbound_0,490011878N,2020-05-19 17:22:00,2020-05-19 16:58:53.643,inbound
7440_490006025N_2020-05-19_outbound_0,490006025N,2020-05-19 17:06:25,2020-05-19 16:58:54.127,outbound
6507_490006025N_2020-05-19_outbound_0,490006025N,2020-05-19 17:09:44,2020-05-19 16:58:54.127,outbound
6888_490006025N_2020-05-19_outbound_0,490006025N,2020-05-19 17:19:44,2020-05-19 16:58:54.127,outbound
6890_490004584N_2020-05-19_outbound_0,490004584N,2020-05-19 17:03:17,2020-05-19 16:58:54.721,outbound
7440_490004584N_2020-05-19_outbound_0,490004584N,2020-05-19 17:15:30,2020-05-19 16:58:54.721,outbound
6507_490004584N_2020-05-19_outbound_0,490004584N,2020-05-19 17:22:56,2020-05-19 16:58:54.721,outbound
7335_490006614S_2020-05-19_inbound_0,490006614S,2020-05-19 17:05:04,2020-05-19 16:58:55.333,inbound
7442_490006614S_2020-05-19_inbound_0,490006614S,2020-05-19 17:16:16,2020-05-19 16:58:55.333,inbound
6139_490006092S_2020-05-19_inbound_0,490006092S,2020-05-19 17:10:37,2020-05-19 17:03:16.783,inbound
6893_490006092S_2020-05-19_inbound_0,490006092S,2020-05-19 17:21:40,2020-05-19 17:03:16.783,inbound
6511_490010160E1_2020-05-19_inbound_0,490010160E1,2020-05-19 17:04:09,2020-05-19 17:03:17.287,inbound
5494_490010160E1_2020-05-19_inbound_0,490010160E1,2020-05-19 17:17:24,2020-05-19 17:03:17.287,inbound
6139_490012438S_2020-05-19_inbound_0,490012438S,2020-05-19 17:09:17,2020-05-19 17:03:17.738,inbound
6893_490012438S_2020-05-19_inbound_0,490012438S,2020-05-19 17:20:20,2020-05-19 17:03:17.738,inbound
7275_490014483E_2020-05-19_outbound_0,490014483E,2020-05-19 17:05:36,2020-05-19 17:03:18.235,outbound
6890_490014483E_2020-05-19_outbound_0,490014483E,2020-05-19 17:08:24,2020-05-19 17:03:30.001,outbound
7440_490014483E_2020-05-19_outbound_0,490014483E,2020-05-19 17:19:42,2020-05-19 17:03:30.001,outbound
6507_490014374N_2020-05-19_outbound_0,490014374N,2020-05-19 17:08:35,2020-05-19 17:03:25.662,outbound
6888_490014374N_2020-05-19_outbound_0,490014374N,2020-05-19 17:15:54,2020-05-19 17:03:25.662,outbound
7441_490014374N_2020-05-19_outbound_0,490014374N,2020-05-19 17:26:02,2020-05-19 17:03:25.662,outbound
6139_490009924S_2020-05-19_inbound_0,490009924S,2020-05-19 17:05:35,2020-05-19 17:03:26.129,inbound
6893_490009924S_2020-05-19_inbound_0,490009924S,2020-05-19 17:17:30,2020-05-19 17:03:26.129,inbound
7275_490007774N_2020-05-19_outbound_0,490007774N,2020-05-19 17:11:44,2020-05-19 17:03:26.704,outbound
6890_490007774N_2020-05-19_outbound_0,490007774N,2020-05-19 17:18:59,2020-05-19 17:03:26.704,outbound
6511_490012569E_2020-05-19_inbound_0,490012569E,2020-05-19 17:05:10,2020-05-19 17:03:27.224,inbound
5494_490012569E_2020-05-19_inbound_0,490012569E,2020-05-19 17:18:20,2020-05-19 17:03:27.224,inbound
5494_490009644E_2020-05-19_inbound_0,490009644E,2020-05-19 17:15:43,2020-05-19 17:03:27.738,inbound
7335_490009644E_2020-05-19_inbound_0,490009644E,2020-05-19 17:23:56,2020-05-19 17:03:27.738,inbound
7335_490010068N_2020-05-19_inbound_0,490010068N,2020-05-19 17:16:00,2020-05-19 17:03:28.329,inbound
5494_490010068N_2020-05-19_inbound_0,490010068N,2020-05-19 17:08:50,2020-05-19 17:03:28.329,inbound
7335_490011823S_2020-05-19_inbound_0,490011823S,2020-05-19 17:13:42,2020-05-19 17:03:28.943,inbound
5494_490011823S_2020-05-19_inbound_0,490011823S,2020-05-19 17:06:30,2020-05-19 17:03:28.943,inbound
7442_490011823S_2020-05-19_inbound_0,490011823S,2020-05-19 17:26:15,2020-05-19 17:03:28.943,inbound
7440_490013517S_2020-05-19_outbound_0,490013517S,2020-05-19 17:10:56,2020-05-19 17:03:29.457,outbound
