vehicle_id,bus_stop_name,direction,expected_arrival,timestamp,arrived
15457_490011761M_2020-02-17_0,Kensington Palace,0,2020-02-18 00:11:06,2020-02-17 23:59:26.546000,True
14876_490011822E_2020-02-17_0,Rutland Gardens,1,2020-02-17 22:23:35,2020-02-17 22:23:33,True
15446_490011822E_2020-02-17_0,Rutland Gardens,1,2020-02-17 22:39:02,2020-02-17 22:38:52,True
15448_490011822W_2020-02-17_0,Knightsbridge Barracks,0,2020-02-17 22:29:20,2020-02-17 22:29:20,True
15457_490011822W_2020-02-17_0,Knightsbridge Barracks,0,2020-02-18 00:06:50,2020-02-17 23:59:26.727000,True
14576_490011822W_2020-02-17_0,Knightsbridge Barracks,0,2020-02-17 22:48:34,2020-02-17 22:48:32,True
14576_490011938U_2020-02-17_0,Savoy Street,0,2020-02-17 22:30:18,2020-02-17 22:30:37,True
14468_490011938U_2020-02-17_0,Savoy Street,0,2020-02-17 22:40:55,2020-02-17 22:40:48,True
14462_490011938U_2020-02-17_0,Savoy Street,0,2020-02-17 22:50:25,2020-02-17 22:50:40,True
14468_490012247A_2020-02-17_0,Southampton Street / Covent Garden,1,2020-02-17 22:23:12,2020-02-17 22:23:33,True
14462_490012247A_2020-02-17_0,Southampton Street / Covent Garden,1,2020-02-17 22:34:56,2020-02-17 22:35:03,True
14876_490012247A_2020-02-17_0,Southampton Street / Covent Garden,1,2020-02-17 22:41:27,2020-02-17 22:41:26,True
14462_490013766E_2020-02-17_0,Charing Cross Stn / Trafalgar Square,1,2020-02-17 22:33:41,2020-02-17 22:33:47,True
14876_490013766E_2020-02-17_0,Charing Cross Stn / Trafalgar Square,1,2020-02-17 22:39:16,2020-02-17 22:39:32,True
15446_490013766E_2020-02-17_0,Charing Cross Stn / Trafalgar Square,1,2020-02-17 22:50:58,2020-02-17 22:51:19,True
14576_490013766H_2020-02-17_0,Charing Cross Station,0,2020-02-17 22:32:57,2020-02-17 22:33:09,True
14468_490013766H_2020-02-17_0,Charing Cross Station,0,2020-02-17 22:43:36,2020-02-17 22:43:59,True
14462_490013767B_2020-02-17_0,Trafalgar Square,1,2020-02-17 22:32:23,2020-02-17 22:31:53,True
14876_490013767B_2020-02-17_0,Trafalgar Square,1,2020-02-17 22:37:46,2020-02-17 22:38:15,True
15446_490013767B_2020-02-17_0,Trafalgar Square,1,2020-02-17 22:49:14,2020-02-17 22:49:16,True
15457_490013767B_2020-02-17_0,Trafalgar Square,0,2020-02-17 23:56:18,2020-02-17 23:56:17,True
14576_490013767B_2020-02-17_0,Trafalgar Square,0,2020-02-17 22:34:57,2020-02-17 22:35:03,True
14468_490013767B_2020-02-17_0,Trafalgar Square,0,2020-02-17 22:45:47,2020-02-17 22:45:56,True
14468_490019703E_2020-02-17_0,Aldwych / Drury Lane,1,2020-02-17 22:25:57,2020-02-17 22:24:13,True
14462_490019703E_2020-02-17_0,Aldwych / Drury Lane,1,2020-02-17 22:37:37,2020-02-17 22:36:57,True
